Current state (shown on button),MFD truth before press,Push action,Expected Mode / Source Action,Cmd Message,Result on Chat Window,Result on MFD,Expected next shown state,Guards and error checks,Fallback or reversion,Andy Comment
OFF,"Tyres OFF, compound already Dry",ModeCycle,select DRY and send combined ON+compound command,TYRE CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",DRY,No compound-only command. Do not send #tc 0 by itself because it may not turn tyres ON if Dry is already selected/fitted.,"After settle, mirror MFD truth. If MFD still OFF, mode should return OFF without extra fighting.",Agree
OFF,"Tyres OFF, compound already Dry",SetDry,select DRY and send combined ON+compound command,TYRE CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",DRY,Same as ModeCycle OFF->DRY.,"After settle, mirror MFD truth.",Agree
OFF,"Tyres OFF, compound currently/fitted Dry",SetWet,select WET and send combined ON+compound command,TYRE CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",WET,No separate #t then #tc sequence. One combined string only.,"After settle, mirror MFD truth.",Agree
DRY,"Tyres ON, compound Dry",ModeCycle,select WET and send combined ON+compound command,TYRE CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",WET,Do not require retry loops. One send per button press/change.,"After settle, mirror MFD truth.",Agree
WET,"Tyres ON, compound Wet",SetDry,select DRY and send combined ON+compound command,TYRE CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",DRY,One combined string only.,"After settle, mirror MFD truth.",Agree
DRY,"Tyres ON, compound Dry",SetWet,select WET and send combined ON+compound command,TYRE CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",WET,One combined string only.,"After settle, mirror MFD truth.",Agree
WET,"Tyres ON, compound Wet",ModeCycle,select AUTO only / arm AUTO,TYRE CHANGE AUTO,No command sent on entry,No immediate MFD change,AUTO,Entering AUTO should not send a tyre command. AUTO acts on declared-wet change or detected mismatch policy later.,Stay AUTO unless manual MFD takeover is detected.,Agree
any,any,SetAuto,select AUTO only / arm AUTO,TYRE CHANGE AUTO,No command sent on entry,No immediate MFD change,AUTO,No immediate correction on AUTO entry in this simplified model.,Stay AUTO unless manual MFD takeover is detected.,Agree
AUTO,Tyres ON or OFF,ModeCycle,select OFF and clear tyres,TYRE CHANGE OFF,Sends #cleartires$,"Tyres OFF, compound may revert to fitted/current compound",OFF,Single clear command only.,"After settle, mirror MFD truth.",Agree
DRY,"Tyres ON, compound Dry",SetOff,select OFF and clear tyres,TYRE CHANGE OFF,Sends #cleartires$,"Tyres OFF, compound may revert to fitted/current compound",OFF,Single clear command only.,"After settle, mirror MFD truth.",Agree
